City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,Ghanzi,-21.5667,21.7833,97.41,14,90,11.23,BW,1699799231
80,Ribeira Grande,38.5167,-28.7,70.77,88,40,24.16,PT,1699799231
81,East London,-33.0153,27.9116,68.94,64,20,23.02,ZA,1699799219
82,Severodvinsk,64.5635,39.8302,26.13,98,27,5.21,RU,1699799232
83,Bayganin,48.6947,55.8742,40.62,69,9,4.99,KZ,1699799232
84,Mount Pearl,47.5166,-52.7813,35.15,90,100,16.11,CA,1699799232
85,Chandler,33.3062,-111.8412,66.45,46,0,4.61,US,1699798913
86,Remire-Montjoly,4.9167,-52.2667,84.56,70,35,9.17,GF,1699799233
87,Kone,-21.0595,164.8658,66.54,78,5,4.92,NC,1699799233
88,Lethem,3.3803,-59.7968,91.85,46,8,13.85,GY,1699799233
89,Lata,40.1629,-8.3327,65.07,91,95,5.88,PT,1699799234
90,Thompson,55.7435,-97.8558,30.36,86,100,10.36,CA,1699799195
91,Altamont,42.2068,-121.7372,33.78,95,40,5.75,US,1699799007
92,Georgetown,5.4112,100.3354,84.15,84,20,0.0,MY,1699799028
93,Vorgashor,67.5833,63.95,15.91,96,97,8.23,RU,1699799235
94,Isangel,-19.55,169.2667,71.69,77,59,17.92,VU,1699799235
95,Geraldton,-28.7667,114.6,73.81,60,100,9.22,AU,1699799235
96,Wailua Homesteads,22.0669,-159.378,74.19,89,100,13.8,US,1699799235
97,Yaren,-0.5472,166.916,83.59,83,100,25.84,NR,1699799236
98,Howard Springs,-12.497,131.047,82.87,73,29,8.46,AU,1699799236
99,Rasht,37.2808,49.5832,62.42,100,0,0.0,IR,1699799236
100,Sao Tome,0.3365,6.7273,79.79,83,99,8.1,ST,1699799236
101,Tofol,5.3248,163.0078,80.38,84,100,17.22,FM,1699799237
102,Ust-Tsilma,65.441,52.1498,23.61,97,74,4.0,RU,1699799237
103,Miri,4.4148,114.0089,80.74,89,20,2.3,MY,1699799237
104,Ilulissat,69.2167,-51.1,15.82,62,75,0.0,GL,1699799237
105,Papatowai,-46.5619,169.4708,51.94,82,100,5.64,NZ,1699799238
106,Chadron,42.8294,-102.9999,42.85,43,0,11.5,US,1699799238
107,St Ives,50.2086,-5.4875,55.72,86,58,26.49,GB,1699799238
108,Kish,26.5578,54.0194,82.67,57,0,4.61,IR,1699799238
109,Sao Joao Da Barra,-21.6403,-41.0511,98.69,63,41,10.13,BR,1699799226
110,Kropyvnytskyi,48.5132,32.2597,47.37,82,100,17.87,UA,1699799239
111,Anadyr,64.75,177.4833,34.3,100,40,17.9,RU,1699799239
112,Kill Devil Hills,36.0307,-75.676,55.98,92,100,16.11,US,1699799239
113,Keflavik,64.0049,-22.5624,41.43,75,75,16.11,IS,1699799240
114,Cockburn Town,21.4612,-71.1419,82.83,77,5,19.19,TC,1699799240
115,Portland,45.5234,-122.6762,50.2,94,100,5.01,US,1699799140
116,Stornoway,58.2093,-6.3865,45.03,76,20,4.61,GB,1699799240
117,Nemuro,43.3236,145.575,36.86,59,2,9.48,JP,1699799241
118,Ust-Nera,64.5667,143.2,-12.12,96,100,2.39,RU,1699799241
119,Saint-Pierre,-21.3393,55.4781,76.57,69,75,14.97,RE,1699799241
120,Sonoita,31.85,-112.8333,58.82,46,0,9.66,MX,1699799242
121,San Agustin De Valle Fertil,-30.6335,-67.4682,69.3,29,23,10.0,AR,1699799242
122,Tarakan,3.3,117.6333,81.72,79,22,10.36,ID,1699799242
123,Badger,64.8,-147.5333,17.47,79,100,0.0,US,1699799242
124,Charters Towers,-20.1,146.2667,68.4,74,0,8.7,AU,1699799242
125,Santiago De Cao,-7.9589,-79.2392,66.33,88,100,10.36,PE,1699799243
126,New Norfolk,-42.7826,147.0587,49.71,86,100,3.78,AU,1699799243
127,Kralendijk,12.15,-68.2667,87.78,70,40,20.71,BQ,1699799243
128,Afaahiti,-17.75,-149.2833,76.87,82,89,4.83,PF,1699799243
129,Ulladulla,-35.35,150.4667,61.77,78,100,9.46,AU,1699799244
130,Asbestos,45.7668,-71.9324,29.75,68,8,5.57,CA,1699799244
131,Margaret River,-33.95,115.0667,65.25,59,96,15.12,AU,1699799244
132,Invercargill,-46.4,168.35,53.02,95,97,4.0,NZ,1699798981
133,Talnakh,69.4865,88.3972,25.21,95,100,12.91,RU,1699799244
134,Berezovo,63.9381,65.0419,23.04,96,94,4.59,RU,1699799245
135,Rongelap,11.1635,166.8941,81.0,81,100,23.35,MH,1699799245
136,Santyoku,37.4406,129.1708,38.19,50,8,8.86,KR,1699799245
137,Noosa Heads,-26.3833,153.15,70.11,70,45,9.48,AU,1699799246
138,Sosnovka,56.255,51.2842,34.5,76,100,7.56,RU,1699799246
139,Atafu Village,-8.5421,-172.5159,83.35,74,97,3.09,TK,1699799246
140,Vila Franca Do Campo,37.7167,-25.4333,68.41,93,100,19.08,PT,1699799246
141,Hamilton,39.1834,-84.5333,45.25,73,40,10.36,US,1699798922
142,Port Alfred,-33.5906,26.891,69.19,68,8,8.01,ZA,1699799247
143,Jamestown,42.097,-79.2353,39.72,81,75,5.75,US,1699799180
144,Hasaki,35.7333,140.8333,50.29,82,97,19.01,JP,1699799247
145,Saudarkrokur,65.7461,-19.6394,34.34,58,100,5.46,IS,1699799247
146,Upington,-28.4478,21.2561,89.98,10,0,11.5,ZA,1699799248
147,Moses Lake,47.1301,-119.2781,36.28,93,0,4.61,US,1699799248
148,Gulf Shores,30.246,-87.7008,62.65,80,100,5.75,US,1699799248
149,Codrington,-38.2667,141.9667,50.18,87,34,6.6,AU,1699799248
150,Sechura,-5.5569,-80.8222,73.11,68,14,8.08,PE,1699799249
151,Ouallam,14.3188,2.0866,100.0,7,9,10.94,NE,1699799249
152,Sitka,57.0531,-135.33,37.29,87,0,3.44,US,1699799186
153,Port Elizabeth,-33.918,25.5701,68.29,61,20,23.02,ZA,1699799250
154,Ola,59.5833,151.2833,12.18,70,100,10.51,RU,1699799250
155,Rawson,-43.3002,-65.1023,55.81,30,5,27.07,AR,1699799251
156,Nenjiang,49.1833,125.2167,18.73,77,29,10.2,CN,1699799251
157,Utrik,11.2278,169.8474,81.5,80,100,21.88,MH,1699799251
158,Papao,-17.75,-149.55,78.48,81,98,2.53,PF,1699799252
159,Atherton,53.5237,-2.4935,46.54,95,100,1.01,GB,1699798804
160,Klaksvik,62.2266,-6.589,41.92,69,100,17.65,FO,1699799252
161,Craig,40.5153,-107.5464,24.42,79,0,4.61,US,1699799253
162,Hermanus,-34.4187,19.2345,64.22,62,7,9.53,ZA,1699799253
163,Shubarshi,48.5872,57.1869,41.22,70,12,1.81,KZ,1699799254
164,Fortuna,40.5982,-124.1573,46.35,93,0,9.22,US,1699799254
165,Ponta Delgada,37.7333,-25.6667,68.72,100,75,20.71,PT,1699799254
166,Westport,41.1415,-73.3579,41.92,64,0,11.5,US,1699798978
167,Balasore,21.4942,86.9317,75.58,57,6,4.21,IN,1699799255
168,Kharkhorin,47.1975,102.8238,8.69,78,43,4.45,MN,1699799255
169,Callao,-12.0667,-77.15,74.71,77,100,5.75,PE,1699799255
170,Al Mayadin,35.0209,40.4535,79.43,26,100,6.31,SY,1699799256
171,Levuka,50.1834,-105.4011,35.31,61,0,16.46,CA,1699799256
172,Carutapera,-1.195,-46.02,88.68,52,20,8.88,BR,1699799256
173,Hawaiian Paradise Park,19.5933,-154.9731,71.04,90,100,10.36,US,1699799256
174,Asau,46.4333,26.4,45.52,77,100,9.15,RO,1699799257
175,Knyaze-Volkonskoye,48.4642,135.4567,12.54,76,33,11.01,RU,1699799257
176,Nar'Yan-Mar,67.6713,53.087,17.11,94,16,5.99,RU,1699799257
177,Alice Springs,-23.7,133.8833,80.15,29,40,5.75,AU,1699799257
